image,g_dx,g_dy,r_dx,r_dy
cathedral,2,5,3,12
cathedral,2,5,3,12
church,4,25,-4,58
emir,23,49,40,107
harvesters,17,60,13,123
icon,17,42,69,847
ilemselga,7,40,11,131
melons,10,80,12,177
monastery,2,-3,2,3
religous_painting,7,30,6,70
self_portrait,29,78,37,176
siren,-7,49,-24,96
three_generations,12,54,8,111
tobolsk,2,3,3,6
wharf,-7,15,-17,83
selfchoose1,-1,2,-2,9
selfchoose2,0,-1,-1,4
selfchoose3,-1,2,-2,5
